employee_id,age,gender,education,department,job_role,monthly_salary,years_at_company,years_in_current_role,performance_score,job_satisfaction,work_life_balance,overtime,distance_from_home_km,num_projects_last_year,training_hours_last_year,num_promotions,last_promotion_years_ago,stock_option_level,relationship_satisfaction,environment_satisfaction
EMP06253,22,Male,Bachelor,Marketing,Role_8,55727,0,0,3.7,3.8,3,No,24,10,37,0,0,2,3,1
EMP04685,50,Other,Master,Sales,Role_9,92145,1,0,3.7,3.0,3,No,6,3,79,0,1,2,3,2
EMP01732,22,Female,High School,Legal,Role_11,61517,0,0,4.0,2.8,3,No,8,5,45,0,0,0,1,3
EMP04743,36,Other,Bachelor,HR,Role_11,59862,13,7,3.1,2.8,2,Yes,2,5,33,1,0,0,4,3
EMP04522,23,Female,Master,Sales,Role_24,78042,1,1,2.9,4.3,3,No,12,5,81,0,1,0,4,4
EMP06341,28,Female,Master,Engineering,Role_17,110020,6,0,4.2,3.1,2,No,4,4,47,1,0,0,3,3
EMP00577,44,Male,High School,Marketing,Role_32,67255,6,0,4.4,3.5,2,No,1,1,22,1,5,3,2,3
EMP05203,42,Female,Master,R&D,Role_3,104842,10,4,4.3,2.9,2,No,8,4,41,1,3,0,3,4
EMP06364,37,Female,Master,Sales,Role_25,78359,1,1,3.4,1.2,4,No,5,3,26,0,1,1,2,4
EMP00440,44,Male,High School,Operations,Role_32,65472,1,0,3.0,2.3,4,No,6,1,0,0,1,0,2,3
